LICENSENO,Registration_Type,ISSDTTM,NAMEFIRST,NAMELAST,Reporting_Statement
CCL399354,Entity Registration,2019-06-20 16:02:22,,"Neponset Strategies, LLP","<A href=""https://drive.google.com/a/boston.gov/file/d/1GMgexXNjf30Z2L5ymXCHODhSJS1G48Lt/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1GMgexXNjf30Z2L5ymXCHODhSJS1G48Lt/view?usp=sharing</A>"
CCL392382,Entity Registration,2019-04-23 09:46:56,Lawrence,DiCara,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/194ArIzVnoUfM25MHhOzbJrJsC1T4HxPp/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/194ArIzVnoUfM25MHhOzbJrJsC1T4HxPp/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/12cluQ6LEp0Z85jBL_HSeZrZ6nIdLFICI/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/12cluQ6LEp0Z85jBL_HSeZrZ6nIdLFICI/view?usp=sharing</A></P>"
CCL410783,Lobbyist Registration,2019-09-25 10:01:27,,Tom Joyce,"<A href=""https://drive.google.com/a/boston.gov/file/d/1BRzkIZFDRi7jEo0RQTQNGRYu5nMo1ahw/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1BRzkIZFDRi7jEo0RQTQNGRYu5nMo1ahw/view?usp=sharing</A>"
CCL395808,Lobbyist Registration,2019-05-20 11:57:15,Ryan,Kearney,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1Wmn2qwM6LNxeUt0d8vZffVqosS23XM7c/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Wmn2qwM6LNxeUt0d8vZffVqosS23XM7c/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1XRS93sXyjuX9zQJ-C-VyKXX43PzpFAEZ/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1XRS93sXyjuX9zQJ-C-VyKXX43PzpFAEZ/view?usp=sharing</A></P>"
CCL402191,Entity Registration,2019-07-09 12:40:37,John,Tobin,"<A href=""https://drive.google.com/a/boston.gov/file/d/1NPzXP3NQccDoKVwbHVlqE4o9tB5Oucfi/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1NPzXP3NQccDoKVwbHVlqE4o9tB5Oucfi/view?usp=sharing</A>"
CCL403540,Lobbyist Registration,2019-07-23 11:09:45,,Maryanne Lewis,
CCL392149,Entity Registration,2019-04-19 13:55:38,,Michael Bergan,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1MrRVQzkhtOFkIanxlXC_LHRsaixhfYaR/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1MrRVQzkhtOFkIanxlXC_LHRsaixhfYaR/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1LbgG8R87-ssQwMD6dzueQPWDKrFaH4fO/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1LbgG8R87-ssQwMD6dzueQPWDKrFaH4fO/view?usp=sharing</A></P>"
CCL391954,Lobbyist Registration,2019-04-17 13:09:57,Jesse,Stanesa,"<A href=""https://drive.google.com/a/boston.gov/file/d/1Q1mj_WQigSeYEi4FAoLIIn4AwxDcnCd1/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1Q1mj_WQigSeYEi4FAoLIIn4AwxDcnCd1/view?usp=sharing</A>"
CCL392150,Lobbyist Registration,2019-04-19 13:55:39,,Michael Bergan,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1jmj-Is2ndhk4yeyySe9ZFg5oprIxPNK6/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1jmj-Is2ndhk4yeyySe9ZFg5oprIxPNK6/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1fLbi0VzZKUgQoRcFrlw8OAJQdf6ztktY/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1fLbi0VzZKUgQoRcFrlw8OAJQdf6ztktY/view?usp=sharing</A></P>"
CCL396995,Lobbyist Registration,2019-06-05 10:22:34,,Richard Rudman,"<P><A href=""https://drive.google.com/a/boston.gov/file/d/1aNBC-d3gOUfZpKj4MTVXqZ1z_BK1eV-a/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1aNBC-d3gOUfZpKj4MTVXqZ1z_BK1eV-a/view?usp=sharing</A></P>
<P><A href=""https://drive.google.com/a/boston.gov/file/d/1V65HJkAR5Vn92id4U6bR-dw6a3K4osgb/view?usp=sharing"" target=_blank>https://drive.google.com/a/boston.gov/file/d/1V65HJkAR5Vn92id4U6bR-dw6a3K4osgb/view?usp=sharing</A></P>"
